date,close_btc,close_xrp,close_eth,close_ltc,close_eos,close_dash
1/1/2017,995.44,0.006346,8.14,4.42,0,11.06
1/2/2017,1017.05,0.006312,8.33,4.54,0,11.62
1/3/2017,1033.3,0.006411,9.59,4.51,0,12.22
1/4/2017,1135.41,0.00641,10.88,4.42,0,15.49
1/5/2017,989.35,0.006276,10.2,4.16,0,13.63
1/6/2017,886.16,0.006222,10.07,3.76,0,11.21
1/7/2017,888.87,0.006363,9.78,3.82,0,11.72
1/8/2017,900.86,0.006251,10.27,3.91,0,12.31
1/9/2017,899.78,0.006176,10.2,4.25,0,12.12
1/10/2017,904.37,0.006815,10.55,4.47,0,12.16
1/11/2017,785.43,0.006543,9.83,3.84,0,11.14
1/12/2017,810.11,0.006359,9.81,3.94,0,12.17
1/13/2017,824.83,0.006669,9.78,3.86,0,12.35
1/14/2017,819.63,0.006795,9.78,3.89,0,12.25
1/15/2017,821.17,0.00681,9.88,3.85,0,12.26
1/16/2017,827.34,0.00678,9.59,3.82,0,12.8
1/17/2017,899.66,0.00683,10.14,3.89,0,14.04
1/18/2017,872.03,0.0068,10.19,3.8,0,13.79
1/19/2017,895.21,0.00684,10.43,3.82,0,15.01
1/20/2017,892.91,0.0066,10.6,3.84,0,14.9
1/21/2017,919.84,0.00684,10.91,3.85,0,14.79
1/22/2017,918.84,0.00678,10.71,3.81,0,14.98
1/23/2017,921.46,0.00669,10.78,3.82,0,15.03
1/24/2017,893.75,0.0065,10.51,3.75,0,14.03
1/25/2017,894.41,0.00649,10.51,3.66,0,14.26
1/26/2017,915.56,0.0063,10.65,3.81,0,14.75
1/27/2017,918.01,0.00636,10.51,3.85,0,15.13
1/28/2017,918.51,0.00639,10.54,3.84,0,15.09
1/29/2017,914.55,0.00631,10.47,3.82,0,15.27
1/30/2017,920.73,0.00645,10.62,3.99,0,15.79
1/31/2017,965.49,0.00641,10.71,4.02,0,15.94
2/1/2017,982.43,0.00649,10.71,4,0,15.69
2/2/2017,1003.97,0.0064,10.78,4.03,0,16.01
2/3/2017,1013.02,0.00638,10.95,3.99,0,16.9
2/4/2017,1031.85,0.00644,11.32,3.96,0,16.88
2/5/2017,1016.11,0.00629,11.22,3.97,0,16.51
2/6/2017,1024.67,0.00638,11.32,3.93,0,16.5
2/7/2017,1049.56,0.00641,11.45,3.93,0,16.82
2/8/2017,1055.49,0.00635,11.39,3.93,0,16.89
2/9/2017,978.96,0.00628,10.94,3.67,0,16.05
2/10/2017,997.61,0.00631,11.34,3.76,0,16.91
2/11/2017,1008.32,0.00638,11.43,3.81,0,17.06
2/12/2017,996.52,0.00627,11.42,3.73,0,16.81
2/13/2017,995.36,0.00624,11.39,3.74,0,16.72
2/14/2017,1008.34,0.00622,13,3.8,0,18.04
2/15/2017,1008.19,0.0061,12.97,3.81,0,19.39
2/16/2017,1031.93,0.00593,12.95,3.84,0,19.27
2/17/2017,1049.41,0.00587,12.72,3.83,0,19.75
2/18/2017,1052.28,0.00554,12.83,3.78,0,21.07
2/19/2017,1048.89,0.00591,12.82,3.75,0,22.22
2/20/2017,1077.56,0.00596,12.52,3.73,0,21.17
2/21/2017,1119.03,0.00585,12.77,3.78,0,20.86
2/22/2017,1120.46,0.00583,12.69,3.8,0,21.5
2/23/2017,1171.91,0.00585,13.13,3.8,0,24.42
2/24/2017,1176.49,0.0056,13.11,3.87,0,25.52
2/25/2017,1149.05,0.00563,13.57,3.85,0,26.6
2/26/2017,1171.58,0.0057,14.59,3.82,0,27.64
2/27/2017,1188.83,0.00556,15.55,3.83,0,27.92
2/28/2017,1189.27,0.00557,16.07,3.77,0,32.43
3/1/2017,1222.66,0.00539,17.55,3.8,0,41.4
3/2/2017,1255.47,0.00606,19.08,3.96,0,42.13
3/3/2017,1283.3,0.00649,19.48,4.02,0,47.25
3/4/2017,1264.32,0.0062,18.61,3.98,0,43.02
3/5/2017,1271.22,0.00604,19.22,3.97,0,42
3/6/2017,1277.01,0.00604,19.75,4.05,0,45.8
3/7/2017,1232.69,0.00673,18.91,3.96,0,45.41
3/8/2017,1146.97,0.0065,16.54,3.8,0,41.33
3/9/2017,1191.33,0.00648,17.71,3.89,0,50.39
3/10/2017,1112.39,0.00617,19.13,3.78,0,49.67
3/11/2017,1179.22,0.00625,21.45,3.8,0,72.56
3/12/2017,1225.11,0.00632,23.31,3.87,0,76.03
3/13/2017,1238.19,0.00644,28.45,4.36,0,74.64
3/14/2017,1243.14,0.00639,28.58,4.17,0,87.69
3/15/2017,1253.43,0.00625,35.18,4.26,0,96
3/16/2017,1172.88,0.0063,45.51,4.33,0,89.49
3/17/2017,1071.71,0.00597,44.48,4.2,0,98.52
3/18/2017,971.38,0.00688,34,4.05,0,108.74
3/19/2017,1022.6,0.00669,43.12,3.98,0,108.59
3/20/2017,1047.51,0.0069,42.51,4.12,0,101.87
3/21/2017,1121.29,0.00682,42.67,4.09,0,98.08
3/22/2017,1044.72,0.00719,41.65,3.98,0,103.45
3/23/2017,1035.03,0.011,43.2,4.02,0,102.43
3/24/2017,939.7,0.01062,53.19,4.18,0,101.94
3/25/2017,966.3,0.00888,50.62,4.13,0,94.99
3/26/2017,969.44,0.00937,50.63,4.1,0,94.13
3/27/2017,1045.14,0.00943,49.06,4.1,0,84.99
3/28/2017,1044.42,0.00955,50.25,4.2,0,87.66
3/29/2017,1041.9,0.01015,53.07,4.32,0,84.76
3/30/2017,1037.91,0.01383,51.91,7.5,0,78.45
3/31/2017,1079.11,0.0214,49.91,7.1,0,72.4
4/1/2017,1086.12,0.022,50.6,7.48,0,67.42
4/2/2017,1097.4,0.0615,48.55,8.22,0,56
4/3/2017,1147.56,0.03201,44.13,8.57,0,62.45
4/4/2017,1141.77,0.03787,44.43,8.97,0,68.64
4/5/2017,1129.87,0.03559,44.9,12.39,0,74.04
4/6/2017,1188.7,0.0332,43.23,10.7,0,66.06
4/7/2017,1190.49,0.03715,42.31,9.89,0,66.14
4/8/2017,1180.78,0.03575,44.37,10.66,0,67.24
4/9/2017,1204.34,0.03421,43.72,9.21,0,65.04
4/10/2017,1206.71,0.03404,43.74,9.8,0,61.39
4/11/2017,1220.74,0.03316,43.74,9.66,0,60.87
4/12/2017,1212.53,0.03455,46.38,11.6,0,67.4
4/13/2017,1176.2,0.03422,49.97,11.06,0,72.81
4/14/2017,1177.33,0.03348,47.32,11.67,0,71.8
4/15/2017,1176.99,0.03381,48.89,11.67,0,74.71
4/16/2017,1176.8,0.03306,48.22,11.73,0,75.19
4/17/2017,1194.01,0.03333,47.94,11.26,0,75.44
4/18/2017,1206.09,0.03281,49.88,11.06,0,72.47
4/19/2017,1215.2,0.03035,47.88,10.29,0,72.34
4/20/2017,1238.09,0.02999,49.36,10.97,0,71.04
4/21/2017,1249.64,0.03355,48.27,12,0,70.84
4/22/2017,1240.89,0.0316,48.41,14.05,0,70.96
4/23/2017,1249.14,0.03141,48.75,15.15,0,70.24
4/24/2017,1248.18,0.03151,49.94,14.87,0,71.63
4/25/2017,1264.31,0.03224,50.09,15.06,0,71.2
4/26/2017,1286.63,0.03275,53.28,14.89,0,71.31
4/27/2017,1332.91,0.03523,63.14,14.66,0,77.71
4/28/2017,1329.62,0.045,72.42,14.25,0,78.55
4/29/2017,1336.28,0.05383,69.83,15.75,0,93.07
4/30/2017,1351.91,0.05218,79.83,15.63,0,89.36
5/1/2017,1415.81,0.05383,77.53,15.74,0,84.77
5/2/2017,1445.93,0.05382,77.25,15.57,0,83.73
5/3/2017,1485.55,0.06108,80.37,20.53,0,85.59
5/4/2017,1516.76,0.08,94.55,22.95,0,86.45
5/5/2017,1507.77,0.09139,90.79,25.2,0,92.55
5/6/2017,1545.29,0.1001,94.82,27.46,0,94.38
5/7/2017,1554.45,0.1391,90.46,29.5,0,100.93
5/8/2017,1664.47,0.1917,88.39,28.1,0,95.87
