date,EVGA_1060,ASUS_1060,PNY_1060,Nvidia_1070,MSI_1070,EVGA_1070,ASUS_1070_Ti,EVGA_1070_Ti,Gigabyte_1070_Ti,Nvidia_1080_Ti,Gigabyte_1080_Ti,ASUS_1080_TI,MSI_580,Gigabyte_580,XFX_580,ASUS_Vega_56,MSI_Vega_56,PowerColor_Vega_56
1/1/17,,$280 ,,$319 ,$440 ,$390 ,,,,,,,,,,,,
1/2/17,,$280 ,,$319 ,$440 ,$390 ,,,,,,,,,,,,
1/3/17,,$280 ,,$319 ,$440 ,$380 ,,,,,,,,,,,,
1/4/17,,$280 ,,$319 ,$425 ,$380 ,,,,,,,,,,,,
1/5/17,,$280 ,,$596 ,$425 ,$380 ,,,,,,,,,,,,
1/6/17,,$280 ,,$579 ,$425 ,$380 ,,,,,,,,,,,,
1/7/17,,$280 ,,$579 ,$425 ,$380 ,,,,,,,,,,,,
1/8/17,,$280 ,,$572 ,$425 ,$380 ,,,,,,,,,,,,
1/9/17,,$280 ,,$572 ,$425 ,$380 ,,,,,,,,,,,,
1/10/17,,$280 ,,$572 ,$420 ,$380 ,,,,,,,,,,,,
1/11/17,,$280 ,,$449 ,$420 ,$390 ,,,,,,,,,,,,
1/12/17,,$280 ,,$449 ,$420 ,$390 ,,,,,,,,,,,,
1/13/17,,$280 ,,$439 ,$420 ,$390 ,,,,,,,,,,,,
1/14/17,,$280 ,,$439 ,$420 ,$390 ,,,,,,,,,,,,
1/15/17,,$280 ,,$439 ,$420 ,$390 ,,,,,,,,,,,,
1/16/17,,$280 ,,$439 ,$420 ,$390 ,,,,,,,,,,,,
1/17/17,,$280 ,,$439 ,$420 ,$390 ,,,,,,,,,,,,
1/18/17,,$280 ,,$439 ,$420 ,$390 ,,,,,,,,,,,,
1/19/17,,$280 ,,$439 ,$420 ,$380 ,,,,,,,,,,,,
1/20/17,,$280 ,,$439 ,$420 ,$380 ,,,,,,,,,,,,
1/21/17,,$280 ,,$439 ,$420 ,$380 ,,,,,,,,,,,,
1/22/17,,$280 ,,$425 ,$420 ,$380 ,,,,,,,,,,,,
1/23/17,,$265 ,,$425 ,$420 ,$380 ,,,,,,,,,,,,
1/24/17,,$265 ,,$425 ,$420 ,$380 ,,,,,,,,,,,,
1/25/17,,$265 ,,$425 ,$420 ,$380 ,,,,,,,,,,,,
1/26/17,,$280 ,,$425 ,$420 ,$380 ,,,,,,,,,,,,
1/27/17,,$280 ,,$425 ,$420 ,$380 ,,,,,,,,,,,,
1/28/17,,$280 ,,$400 ,$420 ,$380 ,,,,,,,,,,,,
1/29/17,,$280 ,,$400 ,$420 ,$380 ,,,,,,,,,,,,
1/30/17,,$280 ,,$400 ,$420 ,$381 ,,,,,,,,,,,,
1/31/17,,$280 ,,$438 ,$405 ,$381 ,,,,,,,,,,,,
2/1/17,,$280 ,,$539 ,$405 ,$390 ,,,,,,,,,,,,
2/2/17,,$280 ,,$539 ,$420 ,$390 ,,,,,,,,,,,,
2/3/17,,$280 ,,$539 ,$420 ,$390 ,,,,,,,,,,,,
2/4/17,,$280 ,,$539 ,$420 ,$390 ,,,,,,,,,,,,
2/5/17,,$280 ,,$539 ,$420 ,$430 ,,,,,,,,,,,,
2/6/17,,$280 ,,$565 ,$420 ,$430 ,,,,,,,,,,,,
2/7/17,,$275 ,,$350 ,$420 ,$430 ,,,,,,,,,,,,
2/8/17,,$269 ,,$565 ,$420 ,$430 ,,,,,,,,,,,,
2/9/17,,$269 ,,$565 ,$420 ,$430 ,,,,,,,,,,,,
2/10/17,,$269 ,,$565 ,$420 ,$430 ,,,,,,,,,,,,
2/11/17,,$269 ,,$565 ,$420 ,$430 ,,,,,,,,,,,,
2/12/17,,$269 ,,$350 ,$420 ,$430 ,,,,,,,,,,,,
2/13/17,,$269 ,,$565 ,$420 ,$430 ,,,,,,,,,,,,
2/14/17,,$269 ,,$565 ,$420 ,$430 ,,,,,,,,,,,,
2/15/17,,$269 ,,$350 ,$420 ,$430 ,,,,,,,,,,,,
2/16/17,,$269 ,,$565 ,$410 ,$430 ,,,,,,,,,,,,
2/17/17,,$269 ,,$565 ,$410 ,$430 ,,,,,,,,,,,,
2/18/17,,$269 ,,$565 ,$410 ,$430 ,,,,,,,,,,,,
2/19/17,,$269 ,,$565 ,$410 ,$430 ,,,,,,,,,,,,
2/20/17,,$280 ,,$559 ,$410 ,$430 ,,,,,,,,,,,,
2/21/17,,$265 ,,$559 ,$420 ,$430 ,,,,,,,,,,,,
2/22/17,,$299 ,,$350 ,$420 ,$430 ,,,,,,,,,,,,
2/23/17,,$298 ,,$420 ,$420 ,$430 ,,,,,,,,,,,,
2/24/17,,$298 ,,$420 ,$420 ,$430 ,,,,,,,,,,,,
2/25/17,,$298 ,,$420 ,$420 ,$430 ,,,,,,,,,,,,
2/26/17,,$294 ,,$350 ,$420 ,$374 ,,,,,,,,,,,,
2/27/17,,$270 ,,$420 ,$420 ,$374 ,,,,,,,,,,,,
2/28/17,,$270 ,,$350 ,$420 ,$374 ,,,,,,,,,,,,
3/1/17,,$270 ,,$350 ,$420 ,$374 ,,,,,,,,,,,,
3/2/17,,$270 ,,$350 ,$420 ,$374 ,,,,,,,,,,,,
3/3/17,,$270 ,,$350 ,$420 ,$374 ,,,,,,,,,,,,
3/4/17,,$270 ,,$350 ,$420 ,$374 ,,,,,,,,,,,,
3/5/17,,$270 ,,$350 ,$420 ,$374 ,,,,,,,,,,,,
3/6/17,,$270 ,,$559 ,$420 ,$374 ,,,,,,,,,,,,
3/7/17,,$270 ,,$350 ,$420 ,$374 ,,,,,,,,,,,,
3/8/17,,$255 ,,$466 ,$430 ,$374 ,,,,,,,,,,,,
3/9/17,,$255 ,,$438 ,$430 ,$374 ,,,,,,,,,,,,
3/10/17,,$255 ,,$398 ,$420 ,$369 ,,,,,,,,,,,,
3/11/17,,$255 ,,$466 ,$420 ,$369 ,,,,,,,,,,,,
3/12/17,,$255 ,,$466 ,$420 ,$369 ,,,,,,,,,,,,
3/13/17,,$255 ,,$398 ,$430 ,$374 ,,,,,,,,,,,,
3/14/17,,$255 ,,$398 ,$430 ,$374 ,,,,$899 ,,,,,,,,
3/15/17,,$255 ,,$398 ,$430 ,$374 ,,,,$880 ,,,,,,,,
3/16/17,,$249 ,,$398 ,$430 ,$374 ,,,,$880 ,,,,,,,,
3/17/17,,$249 ,,$466 ,$430 ,$374 ,,,,$860 ,,,,,,,,
3/18/17,,$249 ,,$466 ,$430 ,$374 ,,,,$860 ,,,,,,,,
3/19/17,,$254 ,,$466 ,$430 ,$374 ,,,,$830 ,,,,,,,,
3/20/17,,$246 ,,$466 ,$430 ,$374 ,,,,$839 ,,,,,,,,
3/21/17,,$251 ,,$466 ,$415 ,$374 ,,,,$860 ,,,,,,,,
3/22/17,,$249 ,,$559 ,$415 ,$374 ,,,,$849 ,,,,,,,,
3/23/17,,$250 ,,$559 ,$415 ,$374 ,,,,$849 ,,,,,,,,
3/24/17,,$250 ,,$559 ,$415 ,$374 ,,,,$838 ,,,,,,,,
3/25/17,,$250 ,,$559 ,$415 ,$374 ,,,,$838 ,,,,,,,,
3/26/17,,$250 ,,$559 ,$415 ,$374 ,,,,$819 ,,,,,,,,
3/27/17,,$250 ,,$550 ,$415 ,$374 ,,,,$808 ,,,,,,,,
3/28/17,,$250 ,,$550 ,$420 ,$374 ,,,,$829 ,,,,,,,,
3/29/17,,$250 ,,$550 ,$420 ,$374 ,,,,$829 ,,,,,,,,
3/30/17,,$250 ,,$398 ,$420 ,$374 ,,,,$829 ,,,,,,,,
