date,close_amd,close_nvda,close_mu,S&P 500
1/3/2017,11.43,102.01,22.55,2257.83
1/4/2017,11.43,104.39,22.36,2270.75
1/5/2017,11.24,101.74,22.11,2269
1/6/2017,11.32,103.1,22.04,2276.98
1/9/2017,11.49,107.28,22.34,2268.9
1/10/2017,11.44,106.47,22.48,2268.9
1/11/2017,11.2,105.16,22.79,2275.32
1/12/2017,10.76,103.44,22.31,2270.44
1/13/2017,10.58,103.43,22.18,2274.64
1/17/2017,9.82,101.11,21.74,2267.89
1/18/2017,9.88,102.95,22.32,2271.89
1/19/2017,9.77,105.16,21.71,2263.69
1/20/2017,9.75,104.01,21.96,2271.31
1/23/2017,9.91,105.09,21.89,2265.2
1/24/2017,10.44,107.33,22.85,2280.07
1/25/2017,10.35,107.79,23.56,2298.37
1/26/2017,10.52,109.65,23.52,2296.68
1/27/2017,10.67,111.77,23.97,2294.69
1/30/2017,10.61,110.02,24.18,2280.9
1/31/2017,10.37,109.18,24.11,2278.87
2/1/2017,12.06,113.95,24.75,2279.55
2/2/2017,12.28,115.39,24.79,2280.85
2/3/2017,12.24,114.38,24.6,2297.42
2/6/2017,13.63,117.31,24.34,2292.56
2/7/2017,13.29,119.13,24.6,2293.08
2/8/2017,13.56,118.61,24.21,2294.67
2/9/2017,13.42,116.38,24.45,2307.87
2/10/2017,13.58,113.62,24.05,2316.1
2/13/2017,13.49,108.38,23.9,2328.25
2/14/2017,13.26,108.78,23.12,2337.58
2/15/2017,13.3,109,23.02,2349.25
2/16/2017,12.97,107.25,22.98,2347.22
2/17/2017,13.13,107.23,23.35,2351.16
2/21/2017,14,111.07,23.77,2365.38
2/22/2017,14.28,110.76,23.75,2362.82
2/23/2017,14.32,100.49,23.48,2363.81
2/24/2017,14.12,101.46,23.24,2367.34
2/27/2017,15.2,104.41,23.76,2369.75
2/28/2017,14.46,101.48,23.44,2363.64
3/1/2017,14.96,102.79,24.55,2395.96
3/2/2017,13.9,99,24.7,2381.92
3/3/2017,13.03,98.43,25.57,2383.12
3/6/2017,13.04,97.67,25.71,2375.31
3/7/2017,13.05,98.74,25.64,2368.39
3/8/2017,13.22,98.56,25.38,2362.98
3/9/2017,13.33,98.54,25.15,2364.87
3/10/2017,13.91,99.12,25.18,2372.6
3/13/2017,14.28,101.85,25.7,2373.47
3/14/2017,14.1,101.78,25.58,2365.45
3/15/2017,13.98,102.55,26.12,2385.26
3/16/2017,13.65,103.81,26.04,2381.38
3/17/2017,13.49,106.07,25.8,2378.25
3/20/2017,14.4,109.45,26.21,2373.47
3/21/2017,13.82,105.91,25.52,2344.02
3/22/2017,14.1,108.07,26.06,2348.45
3/23/2017,13.79,107.09,26.47,2345.96
3/24/2017,13.7,107.47,28.43,2343.98
3/27/2017,13.7,108.25,28.76,2341.59
3/28/2017,13.69,107.69,28.69,2358.57
3/29/2017,13.71,107.34,28.5,2361.13
3/30/2017,14.05,109.4,28.97,2368.06
3/31/2017,14.55,108.93,28.9,2362.72
4/3/2017,14.64,108.38,28.64,2358.84
4/4/2017,14.16,100.78,28.59,2360.16
4/5/2017,14.17,100.03,28.26,2352.95
4/6/2017,13.27,100.76,28.62,2357.49
4/7/2017,13.52,100.33,28.52,2355.54
4/10/2017,13.1,97.77,27.64,2357.16
4/11/2017,13.1,98.12,27.18,2353.78
4/12/2017,12.76,97.31,26.69,2344.93
4/13/2017,12.31,95.49,26.74,2328.95
4/17/2017,12.79,99.23,27.13,2349.01
4/18/2017,12.95,99.29,27.14,2342.19
4/19/2017,12.84,99.68,27.26,2338.17
4/20/2017,13.11,101.26,27.96,2355.84
4/21/2017,13,101.68,27.32,2348.69
4/24/2017,13.13,102.95,26.57,2374.15
4/25/2017,13.49,104.74,26.99,2388.61
4/26/2017,13.41,104.02,26.79,2387.45
4/27/2017,13.62,105.64,27.63,2388.77
4/28/2017,13.3,104.3,27.67,2384.2
5/1/2017,13.62,106.64,28.29,2388.33
5/2/2017,10.32,103.48,27.77,2391.17
5/3/2017,10.39,104.25,28,2388.13
