date,close
2014-12-08,3.68
2014-12-09,3.53
2014-12-10,3.5
2014-12-11,3.48
2014-12-12,3.49
2014-12-13,3.48
2014-12-14,3.48
2014-12-15,3.45
2014-12-16,3.04
2014-12-17,2.94
2014-12-18,2.79
2014-12-19,2.85
2014-12-20,2.92
2014-12-21,2.85
2014-12-22,2.87
2014-12-23,2.88
2014-12-24,2.74
2014-12-25,2.68
2014-12-26,2.78
2014-12-27,2.7
2014-12-28,2.72
2014-12-29,2.69
2014-12-30,2.69
2014-12-31,2.71
2015-01-01,2.69
2015-01-02,2.66
2015-01-03,2.18
2015-01-04,1.95
2015-01-05,2.11
2015-01-06,2.1
2015-01-07,2.11
2015-01-08,2.0
2015-01-09,1.98
2015-01-10,1.63
2015-01-11,1.66
2015-01-12,1.73
2015-01-13,1.54
2015-01-14,1.12
2015-01-15,1.29
2015-01-16,1.4
2015-01-17,1.28
2015-01-18,1.32
2015-01-19,1.33
2015-01-20,1.31
2015-01-21,1.36
2015-01-22,1.41
2015-01-23,1.43
2015-01-24,1.86
2015-01-25,2.22
2015-01-26,2.06
2015-01-27,2.08
2015-01-28,1.93
2015-01-29,1.89
2015-01-30,1.92
2015-01-31,1.88
2015-02-01,1.84
2015-02-02,1.78
2015-02-03,1.83
2015-02-04,1.8
2015-02-05,1.74
2015-02-06,1.79
2015-02-07,1.8
2015-02-08,1.78
2015-02-09,1.73
2015-02-10,1.76
2015-02-11,1.73
2015-02-12,1.75
2015-02-13,1.82
2015-02-14,1.96
2015-02-15,1.83
2015-02-16,1.8
2015-02-17,1.85
2015-02-18,1.81
2015-02-19,1.85
2015-02-20,1.84
2015-02-21,1.84
2015-02-22,1.79
2015-02-23,1.81
2015-02-24,1.82
2015-02-25,1.8
2015-02-26,1.81
2015-02-27,1.84
2015-02-28,1.84
2015-03-01,1.87
2015-03-02,1.92
2015-03-03,1.94
2015-03-04,1.93
2015-03-05,1.91
2015-03-06,1.89
2015-03-07,1.91
2015-03-08,1.89
2015-03-09,1.94
2015-03-10,2.01
2015-03-11,2.02
2015-03-12,2.04
2015-03-13,2.01
2015-03-14,1.99
2015-03-15,2.01
2015-03-16,2.03
2015-03-17,1.99
2015-03-18,1.74
2015-03-19,1.75
2015-03-20,1.76
2015-03-21,1.74
2015-03-22,1.79
2015-03-23,1.77
2015-03-24,1.64
2015-03-25,1.66
2015-03-26,1.69
2015-03-27,1.68
2015-03-28,1.7
2015-03-29,1.65
2015-03-30,1.67
2015-03-31,1.65
2015-04-01,1.66
2015-04-02,1.68
2015-04-03,1.69
2015-04-04,1.67
2015-04-05,1.67
2015-04-06,1.64
2015-04-07,1.67
2015-04-08,1.62
2015-04-09,1.58
2015-04-10,1.52
2015-04-11,1.45
2015-04-12,1.46
2015-04-13,1.36
2015-04-14,1.38
2015-04-15,1.38
2015-04-16,1.41
2015-04-17,1.4
2015-04-18,1.39
2015-04-19,1.38
2015-04-20,1.39
2015-04-21,1.42
2015-04-22,1.46
2015-04-23,1.45
2015-04-24,1.42
2015-04-25,1.39
2015-04-26,1.32
2015-04-27,1.38
2015-04-28,1.36
2015-04-29,1.36
2015-04-30,1.43
2015-05-01,1.41
2015-05-02,1.41
2015-05-03,1.43
2015-05-04,1.41
2015-05-05,1.4
2015-05-06,1.39
2015-05-07,1.46
2015-05-08,1.47
2015-05-09,1.44
2015-05-10,1.43
2015-05-11,1.44
2015-05-12,1.44
2015-05-13,1.44
2015-05-14,1.44
2015-05-15,1.45
2015-05-16,1.45
2015-05-17,1.45
2015-05-18,1.44
2015-05-19,1.45
2015-05-20,1.45
2015-05-21,1.47
2015-05-22,1.83
2015-05-23,1.78
2015-05-24,1.81
2015-05-25,1.8
2015-05-26,1.81
2015-05-27,1.84
2015-05-28,1.83
2015-05-29,1.82
2015-05-30,1.8
2015-05-31,1.63
2015-06-01,1.61
2015-06-02,1.66
2015-06-03,1.67
2015-06-04,1.66
2015-06-05,1.74
2015-06-06,1.75
2015-06-07,1.73
2015-06-08,1.78
2015-06-09,1.8
2015-06-10,1.75
2015-06-11,1.79
2015-06-12,1.8
2015-06-13,1.85
2015-06-14,1.99
2015-06-15,2.01
2015-06-16,2.83
2015-06-17,2.85
2015-06-18,3.09
2015-06-19,2.81
2015-06-20,3.04
2015-06-21,3.01
2015-06-22,3.02
2015-06-23,2.96
2015-06-24,2.8
2015-06-25,2.84
2015-06-26,2.86
2015-06-27,3.08
2015-06-28,3.04
2015-06-29,3.76
2015-06-30,4.1
2015-07-01,3.96
2015-07-02,4.07
2015-07-03,4.09
2015-07-04,4.1
2015-07-05,4.77
2015-07-06,5.32
2015-07-07,5.33
2015-07-08,6.09
2015-07-09,7.6
2015-07-10,4.26
2015-07-11,4.28
2015-07-12,5.18
2015-07-13,4.54
2015-07-14,4.54
2015-07-15,4.11
2015-07-16,3.6
2015-07-17,3.74
2015-07-18,3.88
2015-07-19,3.6
2015-07-20,3.87
2015-07-21,3.7
2015-07-22,3.78
2015-07-23,3.75
2015-07-24,4.6
2015-07-25,4.59
2015-07-26,4.57
2015-07-27,4.59
2015-07-28,4.98
2015-07-29,4.73
2015-07-30,4.53
2015-07-31,4.56
2015-08-01,4.19
2015-08-02,4.14
2015-08-03,4.19
2015-08-04,4.34
2015-08-05,4.3
2015-08-06,4.01
2015-08-07,4.1
2015-08-08,3.77
2015-08-09,3.87
2015-08-10,3.88
2015-08-11,4.08
2015-08-12,3.98
2015-08-13,3.85
2015-08-14,3.99
2015-08-15,3.9
2015-08-16,3.95
2015-08-17,3.97
2015-08-18,3.82
2015-08-19,3.4
2015-08-20,3.57
2015-08-21,3.54
2015-08-22,3.48
2015-08-23,3.35
2015-08-24,2.92
2015-08-25,2.93
2015-08-26,2.92
2015-08-27,2.8
2015-08-28,2.86
2015-08-29,2.85
2015-08-30,2.79
2015-08-31,2.82
2015-09-01,2.79
2015-09-02,2.78
2015-09-03,2.59
2015-09-04,2.67
2015-09-05,2.86
2015-09-06,3.05
2015-09-07,3.05
2015-09-08,3.03
2015-09-09,2.89
2015-09-10,2.93
2015-09-11,2.94
2015-09-12,2.82
2015-09-13,2.8
2015-09-14,2.83
2015-09-15,2.8
2015-09-16,2.78
2015-09-17,2.9
2015-09-18,2.93
2015-09-19,2.86
2015-09-20,2.84
2015-09-21,2.78
2015-09-22,2.82
2015-09-23,2.85
2015-09-24,2.9
2015-09-25,2.87
2015-09-26,2.87
2015-09-27,2.86
2015-09-28,3.03
2015-09-29,2.99
2015-09-30,2.98
2015-10-01,2.98
2015-10-02,2.96
2015-10-03,3.01
2015-10-04,2.98
2015-10-05,2.99
2015-10-06,3.11
2015-10-07,3.03
2015-10-08,3.04
2015-10-09,3.09
2015-10-10,3.09
2015-10-11,3.13
2015-10-12,3.11
2015-10-13,3.14
2015-10-14,3.11
2015-10-15,3.08
2015-10-16,3.1
2015-10-17,3.05
2015-10-18,3.0
2015-10-19,3.03
2015-10-20,3.06
2015-10-21,3.06
2015-10-22,3.1
2015-10-23,3.08
2015-10-24,3.09
2015-10-25,3.07
2015-10-26,3.08
2015-10-27,3.08
2015-10-28,3.07
2015-10-29,3.81
2015-10-30,3.84
2015-10-31,3.55
2015-11-01,3.67
2015-11-02,3.97
2015-11-03,4.28
2015-11-04,3.99
2015-11-05,3.76
2015-11-06,3.42
2015-11-07,3.48
2015-11-08,3.34
2015-11-09,3.33
2015-11-10,3.11
2015-11-11,2.92
2015-11-12,3.24
2015-11-13,3.21
2015-11-14,3.17
2015-11-15,3.04
2015-11-16,3.17
2015-11-17,3.18
2015-11-18,3.17
2015-11-19,3.11
2015-11-20,3.1
2015-11-21,3.13
2015-11-22,3.11
2015-11-23,3.11
2015-11-24,3.1
2015-11-25,3.3
2015-11-26,3.54
2015-11-27,3.55
2015-11-28,3.49
2015-11-29,3.64
2015-11-30,3.6
2015-12-01,3.41
2015-12-02,3.34
2015-12-03,3.35
2015-12-04,3.33
2015-12-05,3.48
2015-12-06,3.44
2015-12-07,3.56
2015-12-08,3.63
2015-12-09,3.62
2015-12-10,3.63
2015-12-11,3.76
2015-12-12,3.54
2015-12-13,3.54
2015-12-14,3.55
2015-12-15,3.76
2015-12-16,3.63
2015-12-17,3.71
2015-12-18,3.73
2015-12-19,3.7
2015-12-20,3.51
2015-12-21,3.41
2015-12-22,3.39
2015-12-23,3.55
2015-12-24,3.61
2015-12-25,3.59
2015-12-26,3.4
2015-12-27,3.48
2015-12-28,3.46
2015-12-29,3.5
2015-12-30,3.46
2015-12-31,3.47
2016-01-01,3.49
2016-01-02,3.49
2016-01-03,3.47
2016-01-04,3.49
2016-01-05,3.46
2016-01-06,3.45
2016-01-07,3.59
2016-01-08,3.56
2016-01-09,3.54
2016-01-10,3.53
2016-01-11,3.55
2016-01-12,3.52
2016-01-13,3.48
2016-01-14,3.45
2016-01-15,3.14
2016-01-16,3.06
2016-01-17,3.02
2016-01-18,3.04
2016-01-19,3.02
2016-01-20,3.36
2016-01-21,3.22
2016-01-22,3.08
2016-01-23,3.11
2016-01-24,3.17
2016-01-25,3.12
2016-01-26,3.13
2016-01-27,3.28
2016-01-28,3.08
2016-01-29,3.1
2016-01-30,3.06
2016-01-31,3.06
2016-02-01,3.07
2016-02-02,3.07
2016-02-03,3.04
2016-02-04,3.14
2016-02-05,3.13
2016-02-06,3.09
