,close,high,low,open,time,volumefrom,volumeto
0,3.68,3.77,3.67,3.72,1417996800,287656.35,1067524.1
1,3.53,3.69,3.44,3.68,1418083200,675855.84,2405351.32
2,3.5,3.55,3.47,3.53,1418169600,438714.73,1545276.08
3,3.48,3.61,3.44,3.5,1418256000,534729.7,1875890.69
4,3.49,3.51,3.45,3.48,1418342400,392712.28,1366913.85
5,3.48,3.5,3.45,3.49,1418428800,471848.86,1639061.74
6,3.48,3.5,3.46,3.48,1418515200,294359.92,1024198.41
7,3.45,3.48,3.44,3.48,1418601600,498404.27,1724375.69
8,3.04,3.46,2.98,3.45,1418688000,852734.82,2688486.57
9,2.94,3.07,2.88,3.04,1418774400,1029949.45,3066143.07
10,2.79,3.01,2.67,2.94,1418860800,1123439.48,3169350.65
11,2.85,2.87,2.7,2.79,1418947200,736169.08,2067814.69
12,2.92,2.94,2.85,2.85,1419033600,702843.72,2040253.95
13,2.85,2.92,2.82,2.92,1419120000,573774.68,1645138.64
14,2.87,2.92,2.81,2.85,1419206400,634447.8,1818295.23
15,2.88,2.91,2.85,2.87,1419292800,523535.65,1504329.23
16,2.74,2.88,2.72,2.88,1419379200,506893.93,1420721.01
17,2.68,2.76,2.64,2.74,1419465600,359135.86,969574.67
18,2.78,2.81,2.66,2.68,1419552000,544718.07,1500272.6
19,2.7,2.79,2.68,2.78,1419638400,635605.06,1737369.07
20,2.72,2.76,2.66,2.7,1419724800,452964.56,1230937.34
21,2.69,2.75,2.67,2.72,1419811200,362563.68,979182.71
22,2.69,2.72,2.65,2.69,1419897600,394361.23,1061157.2
23,2.71,2.72,2.67,2.69,1419984000,407737.45,1100190.63
24,2.69,2.72,2.67,2.71,1420070400,231239.03,623899.68
25,2.66,2.69,2.64,2.69,1420156800,187699.46,501070.62
26,2.18,2.66,2.17,2.66,1420243200,661016.3,1539198.35
27,1.95,2.2,1.89,2.18,1420329600,863913.55,1748672.16
28,2.11,2.17,1.94,1.95,1420416000,1088363.1,2273109.47
29,2.1,2.13,2.03,2.11,1420502400,856263.21,1791736.68
30,2.11,2.16,2.06,2.1,1420588800,1191012.72,2504600.51
31,2.0,2.12,1.99,2.11,1420675200,965609.53,1977972.12
32,1.98,2.01,1.94,2.0,1420761600,769325.22,1519433.83
33,1.63,1.99,1.55,1.98,1420848000,546915.98,982939.69
34,1.66,1.88,1.62,1.63,1420934400,562787.64,989462.4
35,1.73,1.79,1.66,1.66,1421020800,527881.81,915666.26
36,1.54,1.73,1.53,1.73,1421107200,1407773.65,2214844.14
37,1.12,1.57,1.12,1.54,1421193600,1243019.91,1658128.3
38,1.29,1.37,1.12,1.12,1421280000,1122678.22,1438268.63
39,1.4,1.48,1.26,1.29,1421366400,897060.61,1232640.28
40,1.28,1.41,1.23,1.4,1421452800,610748.68,794535.66
41,1.32,1.37,1.21,1.28,1421539200,733310.57,955410.63
42,1.33,1.35,1.29,1.32,1421625600,237082.47,312979.98
43,1.31,1.34,1.28,1.33,1421712000,429185.71,562766.39
44,1.36,1.37,1.31,1.31,1421798400,416931.52,558384.29
45,1.41,1.45,1.36,1.36,1421884800,689163.02,974081.69
46,1.43,1.43,1.36,1.41,1421971200,574629.55,808739.09
47,1.86,1.88,1.41,1.43,1422057600,645287.26,1030792.01
48,2.22,2.39,1.83,1.86,1422144000,786143.16,1679424.75
49,2.06,2.37,2.02,2.22,1422230400,1346812.41,2988557.23
50,2.08,2.18,1.88,2.06,1422316800,741466.24,1498406.05
51,1.93,2.16,1.85,2.08,1422403200,701399.35,1396053.67
52,1.89,1.98,1.84,1.93,1422489600,342733.63,651974.79
53,1.92,2.0,1.89,1.89,1422576000,523247.92,1011844.66
54,1.88,1.94,1.85,1.92,1422662400,228360.61,435849.87
55,1.84,1.88,1.66,1.88,1422748800,567802.67,1002001.92
56,1.78,1.85,1.73,1.84,1422835200,490350.58,874158.35
57,1.83,1.97,1.78,1.78,1422921600,643232.7,1215922.22
58,1.8,1.85,1.75,1.83,1423008000,459769.7,824996.67
59,1.74,1.81,1.72,1.8,1423094400,371275.38,655479.89
60,1.79,1.81,1.73,1.74,1423180800,438023.59,779537.51
61,1.8,1.83,1.78,1.79,1423267200,356235.7,641337.31
62,1.78,1.82,1.74,1.8,1423353600,293822.53,525318.39
63,1.73,1.78,1.71,1.78,1423440000,561309.01,976072.55
64,1.76,1.8,1.68,1.73,1423526400,801339.66,1387138.24
65,1.73,1.8,1.71,1.76,1423612800,560151.32,979743.08
66,1.75,1.76,1.71,1.73,1423699200,459982.84,799019.75
67,1.82,1.86,1.74,1.75,1423785600,956096.54,1734501.68
68,1.96,1.97,1.81,1.82,1423872000,1055936.78,1982703.48
