date,close,volume,open,high,low
16:00,35.32,"29,357,288",37.53,37.62,35.21
12/6/2018,37.67,37372630,35.66,37.68,35.13
12/4/2018,36.88,36552470,39.56,39.87,36.72
12/3/2018,40.03,35635800,40.2,40.24,39.15
11/30/2018,38.56,28121220,37.75,38.63,36.94
11/29/2018,37.91,23553010,38.3,38.71,37.73
11/28/2018,38.71,41853320,37.29,39,35.995
11/27/2018,37,21373230,36.09,37.45,36.02
11/26/2018,36.57,26495100,37.75,37.79,35.525
11/23/2018,36.4,11257770,35.93,37.5,35.92
11/21/2018,36.38,22413000,37,37.22,36.37
11/20/2018,36.12,38462180,34.1,36.99,34.05
11/19/2018,36.83,30982330,39.2,39.32,36.67
11/16/2018,39.44,25261940,38.45,39.7055,38.33
11/15/2018,39.91,29903330,37.95,40.175,37.62
11/14/2018,38.03,23504970,38.62,38.97,37.61
11/13/2018,37.85,25491260,37.66,38.74,37.44
11/12/2018,37.44,24496270,38.24,38.53,36.835
11/9/2018,39.11,26081350,39.89,39.99,38.41
11/8/2018,40.44,15473270,40.67,41.43,40.34
11/7/2018,40.93,22786850,40.32,41.05,39.96
11/6/2018,39.8,19105180,39.74,40.56,39.56
11/5/2018,39.92,22586870,40.1,40.24,38.77
11/2/2018,40.32,33611320,40.19,40.94,39.64
11/1/2018,40.12,43613300,37.98,40.2,37.52
10/31/2018,37.72,44022190,36.58,38.04,35.8
10/30/2018,36.01,35132910,34.64,36.05,34.495
10/29/2018,34.66,33611580,36.14,36.2,33.82
10/26/2018,35.4,41229540,35.28,35.91,34.3
10/25/2018,36.78,39405870,35.59,37.16,35.06
10/24/2018,35.43,52477090,38,38.3,35.4
10/23/2018,38.68,46047010,38.15,39.11,37.41
10/22/2018,39.76,34398570,40.56,40.7,38.64
10/19/2018,40.45,28617390,41.67,41.985,40.27
10/18/2018,41.3,33521390,42.04,42.2125,41.14
10/17/2018,42.35,27735080,43.33,43.39,42.11
10/16/2018,43.21,28158430,42.7,43.35,42.3
10/15/2018,42.34,27273060,42.03,42.55,41.63
10/12/2018,42.47,32651160,43.58,43.75,41.92
10/11/2018,41.97,48067300,41.96,42.92,41.425
10/10/2018,41.61,48310870,41.5,42.75,41.32
10/9/2018,42.27,31274030,42.81,43.04,41.98
10/8/2018,43.07,27393390,43.28,43.85,42.61
10/5/2018,43.58,35352960,44.08,44.63,42.81
10/4/2018,44.16,34537200,44.5,44.75,43.51
10/3/2018,45.15,29358790,46.28,46.415,44.7148
10/2/2018,45.76,32241840,44.9,46.69,44.88
10/1/2018,45.15,26665090,45.44,46.08,45.01
9/28/2018,45.23,28057490,44.65,45.61,44.49
9/27/2018,44.99,26927890,44.23,45.52,44.046
9/26/2018,44.35,30143420,44.29,44.76,43.96
9/25/2018,44.64,32206850,45.1,45.4606,44.02
9/24/2018,45.16,36757020,44.2,45.65,43.86
9/21/2018,44.74,96653350,44.4,45.6,43.8
9/20/2018,46.06,69804990,46.4,47.2199,45.91
9/19/2018,45.06,28431510,45.78,46.06,44.84
9/18/2018,45.33,36237570,43.93,45.87,43.88
9/17/2018,43.58,28078010,43.59,44.32,43.25
9/14/2018,44.3,40344540,44.11,44.56,43.46
9/13/2018,43.62,59736110,42.3,44.4948,42.3
9/12/2018,41.74,66708200,41.24,42.18,40.68
9/11/2018,43.6,48902580,43.65,43.75,42.35
