date,close,volume,open,high,low
16:00,158.29,"17,300,508",151.44,158.492,150.81
12/4/2018,157.11,20238090,168.24,168.44,156.5
12/3/2018,170.04,22230320,172.6,174.68,167.34
11/30/2018,163.43,18194070,157.75,163.8599,155.72
11/29/2018,157.36,13614990,160,161.5,156.14
11/28/2018,160.07,20045570,158.48,160.28,153.125
11/27/2018,153.73,18348930,152,157.01,150.55
11/26/2018,153.05,20315300,149.89,153.47,146.56
11/23/2018,145,10299210,143.31,149.59,142.7892
11/21/2018,144.71,25614800,154.62,155.3,143.61
11/20/2018,149.08,42241260,134.06,154.26,133.31
11/19/2018,144.7,42317960,161.79,161.82,144.63
11/16/2018,164.43,49040720,163.32,170.66,161.61
11/15/2018,202.39,18556230,196.95,205.3,195.5
11/14/2018,197.19,13098330,206.3,206.88,192.8302
11/13/2018,199.31,16035080,193.49,204.21,193.2369
11/12/2018,189.54,15371700,201.98,202.87,188.66
11/9/2018,205.67,10299100,202.4,209.32,201.04
11/8/2018,205.99,12757730,211.4,211.43,203.83
11/7/2018,213.79,12054920,213.75,217.41,211.18
11/6/2018,211.06,7454036,211.45,214.85,209.5648
11/5/2018,211.77,9472615,214.39,215.33,205.28
11/2/2018,214.92,11114150,217.73,222,210.2108
11/1/2018,218.11,14049310,212.3,218.49,207.19
10/31/2018,210.83,18515470,209.65,212.59,204.01
10/30/2018,203,20109580,186.55,203.4,185.62
10/29/2018,185.62,18910670,203.99,204.13,176.01
10/26/2018,198.29,16609660,198.31,204.842,193.12
10/25/2018,207.84,23707420,195.47,209.75,193.6815
10/24/2018,199.41,21916270,219.51,221.39,198.85
10/23/2018,221.06,15587150,220.43,224.19,216.71
10/22/2018,231.22,9205612,231.28,235.32,227.07
10/19/2018,229.17,15323210,241.76,242.55,227.7
10/18/2018,239.53,13066440,245.86,247.41,237.09
10/17/2018,243.06,8225703,248.34,249.88,241.08
10/16/2018,245.83,10180740,239.93,246.28,237.94
10/15/2018,235.38,11211740,246,246,235.34
10/12/2018,246.54,15121060,245.5066,249.5412,239.65
10/11/2018,235.13,18063810,242.17,247.56,234.261
10/10/2018,245.69,16970790,261.26,263.11,245.6
10/9/2018,265.54,6832411,264.94,268.76,262.8
10/8/2018,265.77,10197000,266.5,271.16,260.08
10/5/2018,269.86,10648470,278.29,280.8,267.54
10/4/2018,279.29,9765506,285.27,286.25,276.18
10/3/2018,286.73,8007264,289.32,289.62,282.53
10/2/2018,286.48,9578570,288.25,292.76,285.58
10/1/2018,289.36,15449620,284.16,292.06,282.6
9/28/2018,281.02,17709440,272.73,281.9152,271.6
9/27/2018,267.4,5355734,268.34,269.2,266.1295
9/26/2018,266.92,6703440,268.61,270.24,266.28
9/25/2018,268.41,6982105,268.37,269.42,264.91
9/24/2018,265.7,7338846,262.2,265.84,258.68
9/21/2018,263.45,10810840,266.76,268.6,262.11
9/20/2018,266.28,10748300,267.05,268.76,264.1
9/19/2018,271.98,5586932,270.273,272.699,268.25
9/18/2018,271.02,7480150,274.09,278.24,270.75
9/17/2018,273.93,5114584,275.402,277.38,273.15
9/14/2018,276.43,9643641,274.99,279.1,273.5
9/13/2018,271.34,7620646,270.86,275,270.161
9/12/2018,268.2,10464790,271.19,271.98,261.92
9/11/2018,272.8,6069344,272.86,276.3999,272.02
9/10/2018,274.73,5499810,272.77,275.93,271
9/7/2018,271.86,7380320,269,276.93,267.19
9/6/2018,272.72,8062587,277.76,277.86,271.391
9/5/2018,278.42,9820991,282.99,284.42,275.15
9/4/2018,283.7,9786503,280.15,285.22,279
8/31/2018,280.68,7652371,277,281.2,276.6
8/30/2018,277.81,8636618,277.23,281.717,276.32
8/29/2018,278.49,10472850,273.92,279.5,273.08
8/28/2018,274.38,11865880,275.66,276.58,269.53
8/27/2018,275.9,12605800,273.42,278.9,272.145
8/24/2018,272.22,13274550,267.18,272.81,267
8/23/2018,266.84,17982880,261.26,269.48,260.7012
8/22/2018,262.82,18677870,252,263.02,251.86
8/21/2018,253.32,16708670,248.5,253.5,247.7
8/20/2018,247.84,21327460,243.18,253.2,238.72
8/17/2018,244.82,28534440,252.94,252.97,243.73
8/16/2018,257.44,19284410,261.9,262,255.01
8/15/2018,259.08,14725470,262.27,263.639,255.9
8/14/2018,261.43,11455960,260.38,262,257.02
8/13/2018,256.12,9340989,255.14,261,255.07
8/10/2018,254.79,6386582,253.15,256.1,252.7
8/9/2018,256.46,5053904,259.14,259.25,256.15
8/8/2018,258.42,6539742,257,260.24,255.59
8/7/2018,256.95,6444551,256,257.7,254.9201
8/6/2018,254.03,5180456,251.59,254.17,249.7059
8/3/2018,252.1,5352096,251.61,253.06,250.93
8/2/2018,250.62,6716843,243.59,250.78,241.21
8/1/2018,246.47,7033931,246.13,248.3599,243.886
7/31/2018,244.86,7068792,243.71,247.88,242.1411
7/30/2018,244.13,8488547,252.59,252.83,242.72
7/27/2018,252.02,7379861,256.32,256.6,249.84
7/26/2018,254.84,8078255,251.06,256.33,250.38
7/25/2018,251.87,7922327,249.09,252.38,246.75
7/24/2018,248.71,8858607,251.35,254.85,248
7/23/2018,249.41,7517739,249.82,249.89,243.28
7/20/2018,250.89,5557066,251.93,253.5,250.45
7/19/2018,252.03,5843641,250.94,253.39,250.33
7/18/2018,251.7,6926710,253.39,253.95,249.64
7/17/2018,253.69,9024701,246.21,254.3,245.18
7/16/2018,248.2,4894964,248.2,250.34,247.7
7/13/2018,249.32,6171143,251.98,251.98,247.62
7/12/2018,251.23,8627571,249.36,253.17,248.96
7/11/2018,247.53,9163309,249.5,250.9,247.1
7/10/2018,253.25,8926208,249.75,254.14,248.12
7/9/2018,249.25,7573336,250.3297,250.72,246.0707
7/6/2018,247.33,7402409,241.74,247.665,240.88
7/5/2018,242.73,7560279,239.07,242.93,237.5
7/3/2018,236.84,5568325,243.64,243.88,236.5
7/2/2018,242.24,8839790,234.09,242.39,233.2649
6/29/2018,236.9,9791462,243.49,244,236.85
6/28/2018,240.86,8437758,235.32,241.34,235.01
6/27/2018,235.72,11327200,243.75,246.43,235.5
6/26/2018,241.99,11952140,243.7,245.65,239.9101
6/25/2018,239.12,16625690,246.65,246.8,235.54
6/22/2018,250.95,10837880,257.95,258.49,250.3301
6/21/2018,257.11,8966437,263.6,264.34,256.8
6/20/2018,262.31,9232006,261.832,264.45,260.2808
6/19/2018,260.17,14851320,260.92,263.64,255.02
6/18/2018,265.09,8888520,263.48,265.8,262.38
6/15/2018,265.26,10788750,264.6,267.48,263.3484
6/14/2018,266.91,10728560,264.22,269.2,263.62
6/13/2018,262.4,8341655,262.64,265.67,262.031
6/12/2018,262.58,7947871,261.69,263.07,259.66
6/11/2018,260.62,6609487,261.77,263.45,260.1
6/8/2018,262.28,9005600,259.96,264,259.2
6/7/2018,262.9,9224480,265,265.4785,259.25
6/6/2018,265.15,9278588,261.43,265.28,260.77
6/5/2018,265.07,9774369,264.98,266.59,263.17
6/4/2018,264.85,16018210,259,265.74,257.7
6/1/2018,257.62,10523260,254,257.87,253.65
5/31/2018,252.19,12333940,251.7,255.2,251.27
5/30/2018,252.99,9742477,249.95,253.34,248.9515
5/29/2018,248.59,8792677,248.55,251.34,246.7
5/25/2018,249.28,7293316,248.2,249.94,246.76
5/24/2018,247.69,10891210,247.39,249.4,245.241
5/23/2018,247.54,11048920,240.28,247.59,240.25
5/22/2018,242.7,12945660,244.78,245.7999,240.25
5/21/2018,244.24,15941740,249.88,250.03,240.49
5/18/2018,245.94,12065350,249.81,252.37,245.74
5/17/2018,247.71,12971510,246.084,251.5,245.43
5/16/2018,246.01,13798350,244,248.52,242.51
5/15/2018,245.56,24027430,252.79,252.9,241.5
5/14/2018,255.36,13057840,256.07,258.49,254.4
5/11/2018,254.53,30318590,252.78,259.79,250.54
5/10/2018,260.13,23895980,257.92,260.5,257.2
5/9/2018,255.78,14829150,251.21,255.87,250.11
5/8/2018,250.4,12586470,248.69,250.51,246.71
5/7/2018,248.68,17155980,243.295,250.99,242.89
5/4/2018,239.06,9981546,231.83,239.1889,231.13
5/3/2018,232.99,11024750,227.6,234.05,225.77
5/2/2018,226.31,6688802,227,228.8,225.25
5/1/2018,227.14,6303007,224.57,227.25,222.2
4/30/2018,224.9,8184552,226.99,229,224.12
